time_s,r_sc_x,r_sc_y,r_sc_z,v_sc_x,v_sc_y,v_sc_z,r_lv_x,r_lv_y,r_lv_z,v_lv_x,v_lv_y,v_lv_z,relative_distance_m,relative_speed_mps,spring_force_N
0.0,5737954.125725041,-937044.5879560796,3289208.7044237885,-3435.240842406553,2124.9274463158604,6598.063099496331,5737954.174569523,-937044.6181696756,3289208.61060825,-3435.240842406553,2124.9274463158604,6598.063099496331,0.11000000027669107,0.0,3299.9999916992674
0.01,5737919.77290932,-937023.3386043443,3289274.684880237,-3435.322301117002,2124.9429002507413,6598.028188725497,5737919.821798363,-937023.3688455042,3289274.5909791104,-3435.313390273205,2124.937388294794,6598.011073678532,0.1101003535305904,0.020067626370729594,3296.989394082288
0.02,5737885.419279049,-937002.0890980933,3289340.6649875045,-3435.403750745946,2124.958348568106,6597.993260511884,5737885.468301694,-937002.1194218949,3289340.5708297696,-3435.3859453171713,2124.947334713383,6597.959061646188,0.11040123042385432,0.04009863719101237,3287.963087284371
0.03,5737851.064834364,-936980.8394374094,3289406.644745334,-3435.4851826870677,2124.973785944382,6597.95829832531,5737851.114079407,-936980.8698987794,3289406.5501604383,-3435.4585151611705,2124.9572902867885,6597.907078040331,0.11090208246268604,0.06005648383238298,3272.937526119419
0.04,5737816.709575483,-936959.5896224285,3289472.624153303,-3435.5665883654283,2124.989207075333,6597.923285695835,5737816.759131316,-936959.620276043,3289472.5289714737,-3435.531107400128,2124.9672597130457,6597.855137448632,0.11160199521112693,0.0799047508401834,3251.9401436661915
0.05,5737782.353502712,-936938.3396533396,3289538.603210825,-3435.6479592531177,2125.004606685968,6597.888206244162,5737782.403457159,-936938.3705535234,3289538.5072633787,-3435.6037295873166,2124.977247664285,6597.803254378481,0.11249969148463661,0.09960722306605747,3225.009255460902
0.060000000000000005,5737747.996616442,-936917.0895303839,3289604.581917151,-3435.72928688495,2125.0199795399994,6597.853043711214,5737748.0470565995,-936917.1207310124,3289604.485036801,-3435.676389220453,2124.9872587783593,6597.7514432307835,0.11359353375233514,0.11912795127613053,3192.193987429946
0.07,5737713.638917146,-936895.8392538552,3289670.560271369,-3435.810562873845,2125.0353204494054,6597.817781987799,5737713.6899292255,-936895.8708082553,3289670.462292531,-3435.749093728074,2124.9972976503695,6597.699718273693,0.1148815261383207,0.13843131768796904,3153.554215850379
0.08,5737679.280405384,-936874.5888240985,3289736.538272407,-3435.891778926064,2125.050624283959,6597.782405144192,5737679.332074551,-936874.6207849517,3289736.4390315013,-3435.821850456043,2125.007368824228,6597.648093616407,0.11636131806372826,0.15748210124322587,3109.160458088152
0.09,5737644.921081794,-936853.33824151,3289802.5159190353,-3435.9729268563997,2125.065885980597,6597.746897459167,5737644.973492018,-936853.3706607561,3289802.4152547843,-3435.894666654096,2125.017476784359,6597.596583183451,0.11803021004784568,0.17624554186963753,3059.0936985646294
0.09999999999999999,5737610.560947101,-936832.0875065359,3289868.493209868,-3436.053998603138,2125.0811005525447,6597.711243448465,5737610.614180996,-936832.1204352786,3289868.390963591,-3435.967549462588,2125.0276259476173,6597.545200689464,0.11988515708010836,0.19468740352362918,3003.4452875967495
0.10999999999999999,5737576.200002103,-936810.8366196722,3289934.4701433657,-3436.134986242548,2125.096263098571,6597.675427893411,5737576.254140783,-936810.8701080853,3289934.366159269,-3436.040505899662,2125.0378206550895,6597.493959613856,0.12192277399209168,0.21277403713061205,2942.31678023725
0.11999999999999998,5737541.838247682,-936789.5855814634,3290000.446717838,-3436.215882003755,2125.1113688118126,6597.639435868299,5737541.89337061,-936789.6196786995,3290000.340843299,-3436.113542848073,2125.04806516428,6597.442873176549,0.12413934372482073,0.2304724416596557,2875.819688255378
0.12999999999999998,5737507.475684795,-936768.3343925012,3290066.422931446,-3436.2966782826584,2125.126412988573,6597.603252767816,5737507.531869636,-936768.3691466022,3290066.3150172913,-3436.1866670428612,2125.058363641317,6597.391954313689,0.12653082138191724,0.24775032444020828,2804.075358542483
0.13999999999999999,5737473.112314473,-936747.083053424,3290132.3987822086,-3436.377367655724,2125.141391036939,6597.56686433371,5737473.169636956,-936747.1185112332,3290132.288682986,-3436.2598850591385,2125.068720153321,6597.341215654024,0.12909284313296437,0.2645761600565222,2727.2147060110688
0.15,5737438.748137822,-936725.8315649157,3290198.374268002,-3436.4579428936804,2125.156298485161,6597.530256680894,5737438.806671601,-936725.8677719925,3290198.261842246,-3436.3332032999533,2125.0791386609803,6597.2906694957865,0.13182073497225333,0.28091924814550745,2645.3779508324
0.16,5737404.383156019,-936704.5799277041,3290264.3493865663,-3436.5383969747213,2125.171130989737,6597.493416322456,5737404.442972535,-936704.6169282405,3290264.2344970573,-3436.406627984601,2125.0896230113945,6597.240327784537,0.13470951923762303,0.2967497688572958,2558.7144228713096
0.17,5737370.01737031,-936683.3281425597,3290330.324135509,-3436.618723097168,2125.1858843434393,6597.456330194647,5737370.078538666,-936683.3659793003,3290330.206649522,-3436.480165137406,2125.100176930961,6597.190202091036,0.13775392497501454,0.31203883780571623,2467.382250749564
0.18000000000000002,5737335.650782006,-936662.0762102946,3290396.298512309,-3436.6989146920823,2125.2005544829035,6597.4189856804105,5737335.713368838,-936662.1149244581,3290396.1783018564,-3436.553820576551,2125.1108040186573,6597.140303590402,0.14094839785832322,0.32675855839684137,2371.5480642503035
0.19000000000000003,5737301.283392485,-936640.8241317605,3290462.272514321,-3436.7789654350895,2125.2151374960968,6597.381370632599,5737301.347461841,-936640.8637629646,3290462.149456387,-3436.6275999036056,2125.121507739423,6597.090643041549,0.1442871089653618,0.34088207294313394,2271.3867310391465
